Year when drafted,Round drafted,Overall pick,Name,Position,Organization,school,age when drafted ,Birth date,Bats,Throws ,education type,Drafted before,Minor-League level started at,if the player appeared in rookie leagues,Number of games played in Rookie Leagues,Number of plate appearances in Rookie Leagues,If the player appeared in Short-Season-A,Number of games played in Short-Season-A,Number of plate appearances in Short-Season-A,If the player appeared in Low-A ,Number of games played in Low-A ,Number of plate appearances in Low-A,If the player appeared in High-A,Number of games played in High-A,Number of plate appearances in High-A,If the player appeared in Double-A,Number of games played in Double-A,Number of plate appearances in Double-A ,If the player appeared in Triple-A,"Number of games played in Triple-A	",Number of plate appearances in Triple-A ,If the player appeared in the Major Leagues,Number of seasons spent in the minor leagues    ,Total number of games played in the minor leagues,Total number of plate appearances in the minor leagues  ,Total games played in Short-Season and lower levels,Total plate appearances in Short-Season and lower levels,Total games played in Low-A and lower levels,Total plate appearances in Low-A and lower levels,Total games played in High-A and lower levels,Total plate appearances in High-A and lower levels,"Total games played in Double-A and lower levels	",Total plate appearances in Double-A and lower levels,"Total games played in Triple-A and lower levels	",Total plate appearances in Triple-A and lower levels,Average plate appearances per game
2004,33,1000,Judson Richards,First Base,Giants,Point Loma Nazarene U (CA),24,12/25/80,Left,Left,College,No,Rookie,Yes,56,240, , , , , , , , , , , , , , , ,No,1,56,240,56,240,56,240,56,240,56,240,56,240,4.29
1998,10,302,Keith Ginter,Second Base,Astros,Texas Tech University,22,05/05/76,Right,Right,College,No,Short-Season, , , ,Yes,71,301, , , ,Yes,103,437,Yes,134,582, , , ,Yes,3,308,1320,71,301,71,301,174,738,308,1320,308,1320,4.29
2006,10,303,Kody Valverde,Catcher,Padres,"U Alabama Tuscaloosa, AL",23,03/14/83,Right,Right,College,No,Short-Season, , , ,Yes,40,172, , , , , , ,Yes,1,4, , , ,Active,2,41,176,40,172,40,172,40,172,41,176,41,176,4.29
1995,2,35,Mark Bellhorn,Shortstop,Athletics,Auburn University,21,08/23/74,Switch,Right,College,Yes,High-A, , , , , , , , , ,Yes,56,256,Yes,131,541,Yes,70,305,Yes,3,257,1102,0,0,0,0,56,256,187,797,257,1102,4.29
2005,18,548,Michael Sansoe,Outfield,Padres,"St Marys Col, CA",23,11/06/82,Right,Right,College,No,Short-Season, , , ,Yes,49,223,Yes,74,326,Yes,7,28,Yes,37,141,Yes,46,196,Active,3,213,914,49,223,123,549,130,577,167,718,213,914,4.29
1996,29,852,Michael Sorrow,Outfield,Giants,Georgia Tech University,22,04/02/74,Right,Right,College,No,Short-Season, , , ,Yes,2,4,Yes,61,266, , , , , , , , , ,No,1,63,270,2,4,63,270,63,270,63,270,63,270,4.29
2004,8,247,Myron Leslie,Third Base,Athletics,U South Florida (FL),22,05/02/82,Switch,Right,College,Yes,Short-Season, , , ,Yes,73,314,Yes,131,557,Yes,136,595,Yes,108,454, , , ,Active,4,448,1920,73,314,204,871,340,1466,448,1920,448,1920,4.29
2005,10,313,Peter Bourjos,Outfield,Angels,"Notre Dame HS, AZ",18,03/31/87,Right,Right,High School,No,Rookie,Yes,69,296, , , ,Yes,63,270, , , , , , , , , ,Active,2,132,566,69,296,132,566,132,566,132,566,132,566,4.29
2005,13,383,Reed Eastley,Third Base,Mariners,"Niagara U, NY",22,07/24/83,Left,Right,College,No,Rookie,Yes,3,14,Yes,55,245,Yes,67,280,Yes,141,601, , , , , , ,Active,3,266,1140,58,259,125,539,266,1140,266,1140,266,1140,4.29
1995,1,14,Reggie Taylor,Outfield,Phillies,Newberry HS (SC),18,01/12/77,Left,Right,High School,No,Rookie,Yes,64,262, , , ,Yes,128,528,Yes,134,575,Yes,206,893,Yes,98,443,Yes,6,630,2701,64,262,192,790,326,1365,532,2258,630,2701,4.29
2005,14,429,Steven Murphy,Outfield,Rangers,"Kansas St U, KS",21,04/22/84,Left,Right,College,No,Short-Season, , , ,Yes,63,285, , , ,Yes,116,513,Yes,130,529, , , ,Active,3,309,1327,63,285,63,285,179,798,309,1327,309,1327,4.29
2004,10,286,Steven Sollmann,Second Base,Brewers,U Notre Dame (IN),22,04/01/82,Right,Right,College,Yes,Rookie,Yes,72,324, , , , , , ,Yes,224,934,Yes,125,546, , , ,Active,4,421,1804,72,324,72,324,296,1258,421,1804,421,1804,4.29
1997,8,240,Vicente Rosario,Outfield,Mets,"George Washington HS (New York,NY)",19,02/02/78,Right,Right,High School,No,Rookie,Yes,37,160,Yes,54,230, , , , , , , , , , , , ,No,3,91,390,91,390,91,390,91,390,91,390,91,390,4.29
2003,1,37,Adam Jones,Shortstop,Mariners,Samuel Morse HS (CA),18,08/01/85,Right,Right,High School,No,Rookie,Yes,28,114,Yes,3,14,Yes,130,543,Yes,68,315,Yes,63,257,Yes,96,416,Yes,4,388,1659,31,128,161,671,229,986,292,1243,388,1659,4.28
1994,22,608,Adam Riggs,Second Base,Dodgers,University of South Carolina,22,10/04/72,Right,Right,College,No,Rookie,Yes,62,265,Yes,4,7, , , ,Yes,134,601,Yes,134,543,Yes,57,256,Yes,4,391,1672,66,272,66,272,200,873,334,1416,391,1672,4.28
2000,24,729,Andrew Green,Second Base,Diamondba,University of Kentucky,23,07/07/77,Right,Right,College,No,Rookie,Yes,23,95, , , ,Yes,131,545,Yes,102,461,Yes,126,528,Yes,104,451,Yes,5,486,2080,23,95,154,640,256,1101,382,1629,486,2080,4.28
1996,34,997,Anthony Felston,Outfield,Twins,University of Mississippi,22,11/26/74,Left,Left,College,Yes,Rookie,Yes,2,6, , , ,Yes,156,637,Yes,195,873,Yes,48,199, , , ,No,4,401,1715,2,6,158,643,353,1516,401,1715,401,1715,4.28
2003,24,727,Brandon Jones,Outfield,Braves,Tallahassee CC (FL),20,12/10/83,Left,Right,College,No,Rookie,Yes,61,248, , , ,Yes,43,189,Yes,76,326,Yes,142,612,Yes,44,191,Yes,4,366,1566,61,248,104,437,180,763,322,1375,366,1566,4.28
1999,9,270,Brandon Watson,Second Base,Expos,"Westchester HS (Inglewood,CA)",18,09/30/81,Left,Right,High School,No,Rookie,Yes,33,130,Yes,69,303,Yes,117,518,Yes,111,451,Yes,175,766,Yes,227,965,Yes,7,732,3133,102,433,219,951,330,1402,505,2168,732,3133,4.28
2003,4,99,Charlie Fermaint,Outfield,Brewers,Jose S Alegria (PR),18,10/11/85,Right,Right,High School,No,Rookie,Yes,114,489, , , ,Yes,102,453,Yes,157,653, , , , , , ,Active,5,373,1595,114,489,216,942,373,1595,373,1595,373,1595,4.28
2000,23,679,Craig Thompson,Outfield,Padres,Stanford University,23,09/27/77,Switch,Right,College,No,Rookie,Yes,58,270, , , ,Yes,87,351, , , , , , , , , ,No,2,145,621,58,270,145,621,145,621,145,621,145,621,4.28
2002,18,550,Edward Harris,Outfield,Mariners,Georgia College and State Universi,23,09/09/79,Left,Right,College,No,Short-Season, , , ,Yes,69,302,Yes,127,561,Yes,137,604,Yes,181,731, , , ,No,5,514,2198,69,302,196,863,333,1467,514,2198,514,2198,4.28
2000,11,332,Freddy Sanchez,Second Base,Red Sox,Oklahoma City University,23,12/21/77,Right,Right,College,No,Short-Season, , , ,Yes,34,141,Yes,30,120,Yes,69,302,Yes,124,535,Yes,45,195,Yes,3,302,1293,34,141,64,261,133,563,257,1098,302,1293,4.28
1999,3,105,Hank Blalock,Third Base,Rangers,"Rancho Bernardo HS (San Diego,CA)",19,11/21/80,Left,Right,High School,No,Rookie,Yes,51,216, , , ,Yes,146,600,Yes,63,263,Yes,68,311,Yes,95,421,Yes,4,423,1811,51,216,197,816,260,1079,328,1390,423,1811,4.28
1998,9,258,Jack Wilson,Shortstop,Cardinals,Oxnard College,21,12/29/77,Right,Right,College,No,Rookie,Yes,61,259, , , ,Yes,64,266,Yes,77,328,Yes,121,532,Yes,27,112,Yes,4,350,1497,61,259,125,525,202,853,323,1385,350,1497,4.28
1992,1,4,Jeffrey Hammonds,Outfield,Orioles,Stanford University,21,03/05/71,Right,Right,College,Yes,Double-A, , , , , , , , , , , , ,Yes,24,101,Yes,36,156,Yes,1,60,257,0,0,0,0,0,0,24,101,60,257,4.28
2000,1,12,Joe Borchard,Outfield,White Sox,Stanford University,22,11/25/78,Switch,Right,College,Yes,Rookie,Yes,7,33, , , , , , ,Yes,16,67,Yes,139,607,Yes,117,487,Yes,3,279,1194,7,33,7,33,23,100,162,707,279,1194,4.28
2005,5,158,John Johnston,Shortstop,Padres,"U Texas Austin, TX",22,03/12/83,Right,Right,College,Yes,Short-Season,Yes,3,10,Yes,47,190,Yes,112,496,Yes,95,405, , , , , , ,Active,3,257,1101,50,200,162,696,257,1101,257,1101,257,1101,4.28
2000,14,409,John Woodward,First Base,Padres,University of Houston,24,11/10/76,Left,Right,College,No,Rookie,Yes,68,324, , , ,Yes,116,463, , , , , , , , , ,No,2,184,787,68,324,184,787,184,787,184,787,184,787,4.28
2005,4,114,Justin Maxwell,Outfield,Nationals,"U Maryland College Park, MD",22,11/06/83,Right,Right,College,Yes,Short-Season, , , ,Yes,74,306,Yes,73,312,Yes,58,260, , , , , , ,Active,3,205,878,74,306,147,618,205,878,205,878,205,878,4.28
2004,15,440,Justin Nelson,Outfield,Rockies,U California Berkeley (CA),22,12/15/82,Left,Left,College,Yes,Rookie,Yes,60,254,Yes,2,9,Yes,113,485,Yes,194,830, , , , , , ,Active,4,369,1578,62,263,175,748,369,1578,369,1578,369,1578,4.28
2005,9,288,Mark Wagner,Catcher,Red Sox,"UC Irvine, CA",21,06/11/84,Right,Right,College,Yes,Short-Season, , , ,Yes,24,81,Yes,96,407,Yes,112,505, , , , , , ,Active,3,232,993,24,81,120,488,232,993,232,993,232,993,4.28
1994,1,6,McKay Christense,Outfield,Angels,"Clovis West HS (Fresno,CA)",19,08/14/75,Left,Left,High School,No,Rookie,Yes,35,143, , , ,Yes,133,567,Yes,95,414,Yes,75,324,Yes,1,4,Yes,4,339,1452,35,143,168,710,263,1124,338,1448,339,1452,4.28
2005,4,128,Michael Baxter,First Base,Padres,"Vanderbilt U, TN",21,12/07/84,Left,Right,College,No,Low-A, , , , , , ,Yes,162,712,Yes,111,470, , , ,Yes,10,30,Active,3,283,1212,0,0,162,712,273,1182,273,1182,283,1212,4.28
2005,16,480,Michael Hollimon,Shortstop,Tigers,"Oral Roberts U, OK",23,06/14/82,Switch,Right,College,Yes,Short-Season, , , ,Yes,72,313,Yes,128,537, , , ,Yes,127,552,Yes,5,20,Active,3,332,1422,72,313,200,850,200,850,327,1402,332,1422,4.28
2004,11,333,Michael Saunders,Third Base,Mariners,Lambrick Park Ss (BC),18,11/19/86,Left,Right,High School,No,Short-Season, , , ,Yes,56,228,Yes,104,416,Yes,108,507,Yes,15,60, , , ,Active,3,283,1211,56,228,160,644,268,1151,283,1211,283,1211,4.28
1994,3,76,Mike Metcalfe,Shortstop,Dodgers,University of Miami (FL),21,01/02/73,Right,Right,College,Yes,High-A, , , , , , , , , ,Yes,323,1377,Yes,67,291, , , ,Yes,5,390,1668,0,0,0,0,323,1377,390,1668,390,1668,4.28
1999,2,60,Ryan Ludwick,Outfield,Athletics,UNLV,21,07/13/78,Right,Left,College,No,High-A, , , , , , , , , ,Yes,172,751,Yes,119,499,Yes,95,402,Yes,4,386,1652,0,0,0,0,172,751,291,1250,386,1652,4.28
1999,6,194,Shane Victorino,Outfield,Dodgers,"St. Anthony HS (Wailuku,Hawaii)",19,11/30/80,Right,Right,High School,No,Rookie,Yes,55,245,Yes,61,256,Yes,112,471,Yes,2,9,Yes,188,815,Yes,11,42,Yes,5,429,1838,116,501,228,972,230,981,418,1796,429,1838,4.28
1992,1,19,Shannon Stewart,Outfield,Blue Jays,"Southridge HS (Miami,FL)",18,02/25/74,Right,Right,High School,No,Rookie,Yes,50,196,Yes,75,334,Yes,56,248, , , ,Yes,138,587, , , ,Yes,4,319,1365,125,530,181,778,181,778,319,1365,319,1365,4.28
2006,8,243,Thomas King,Shortstop,Padres,"Troy U, AL",22,08/03/84,Right,Right,College,No,Short-Season, , , ,Yes,69,310,Yes,79,332, , , , , , ,Yes,3,5,Active,2,151,647,69,310,148,642,148,642,148,642,151,647,4.28
1997,1,3,Troy Glaus,Third Base,Angels,UCLA,21,08/03/76,Right,Right,College,Yes,Double-A, , , , , , , , , , , , ,Yes,50,227,Yes,59,240,Yes,1,109,467,0,0,0,0,0,0,50,227,109,467,4.28
2006,1,9,William Rowell,Third Base,Orioles,"Bishop Eustace Prep Schoo, NJ",18,09/10/88,Left,Right,High School,No,Rookie,Yes,42,180,Yes,11,49,Yes,91,388, , , , , , , , , ,Active,1,144,617,53,229,144,617,144,617,144,617,144,617,4.28
2005,35,1062,Antoan Richardso,Outfield,Giants,"Vanderbilt U, TN",22,10/08/83,Switch,Right,College,Yes,Rookie,Yes,53,252, , , ,Yes,124,493,Yes,107,469, , , , , , ,Active,2,284,1214,53,252,177,745,284,1214,284,1214,284,1214,4.27
2004,16,488,Brian Cleveland,Shortstop,Marlins,U Tennessee (TN),22,01/07/82,Right,Right,College,Yes,Short-Season, , , ,Yes,63,266,Yes,109,481,Yes,63,272,Yes,38,148, , , ,No,3,273,1167,63,266,172,747,235,1019,273,1167,273,1167,4.27
2002,39,1180,Bryan Lahair,Outfield,Mariners,St. Petersburg College,20,11/05/82,Left,Right,College,No,Short-Season, , , ,Yes,64,238,Yes,67,278,Yes,126,569,Yes,60,252,Yes,192,836,Active,5,509,2173,64,238,131,516,257,1085,317,1337,509,2173,4.27
1996,5,142,Chad Meyers,Second Base,Cubs,Creighton University,21,08/08/75,Right,Right,College,No,Short-Season, , , ,Yes,67,263,Yes,125,513,Yes,48,219,Yes,141,615,Yes,44,204,Yes,4,425,1814,67,263,192,776,240,995,381,1610,425,1814,4.27
2005,5,141,Christopher Rahl,Outfield,Diamondba,"Col William & Mary, VA",22,12/05/83,Right,Right,College,No,Short-Season, , , ,Yes,47,198, , , ,Yes,131,613,Yes,119,458, , , ,Active,3,297,1269,47,198,47,198,178,811,297,1269,297,1269,4.27
1995,11,284,Danny Buxbaum,First Base,Angels,University of Miami (FL),22,01/17/73,Right,Right,College,No,Short-Season, , , ,Yes,68,280, , , ,Yes,74,329,Yes,206,890,Yes,27,102,No,4,375,1601,68,280,68,280,142,609,348,1499,375,1601,4.27
1998,1,42,Eric Valent,Outfield,Phillies,UCLA,21,04/04/77,Left,Left,College,Yes,Low-A, , , , , , ,Yes,22,103,Yes,168,719,Yes,128,539,Yes,117,497,Yes,4,435,1858,0,0,22,103,190,822,318,1361,435,1858,4.27
2000,2,60,Freddie Bynum,Second Base,Athletics,Pitt Community College,20,03/15/80,Left,Right,College,No,Short-Season, , , ,Yes,72,312, , , ,Yes,255,1084,Yes,197,855,Yes,168,705,Yes,6,692,2956,72,312,72,312,327,1396,524,2251,692,2956,4.27
2005,6,189,German Duran,Second Base,Rangers,"Weatherford Col, TX",21,08/03/84,Right,Right,College,Yes,Short-Season, , , ,Yes,62,274, , , ,Yes,114,503,Yes,130,529, , , ,Active,3,306,1306,62,274,62,274,176,777,306,1306,306,1306,4.27
1997,4,121,Goefrey Tomlinso,Outfield,Royals,University of Houston,21,08/19/76,Left,Left,College,Yes,Short-Season, , , ,Yes,58,242,Yes,68,313,Yes,38,150,Yes,128,551,Yes,29,115,No,4,321,1371,58,242,126,555,164,705,292,1256,321,1371,4.27
2000,3,75,Grady Sizemore,Outfield,Expos,"Cascade HS (Everett,WA)",18,08/02/82,Left,Left,High School,No,Rookie,Yes,55,228, , , ,Yes,123,532,Yes,122,497,Yes,128,542,Yes,101,460,Yes,5,529,2259,55,228,178,760,300,1257,428,1799,529,2259,4.27
1997,49,1405,J.J. Newkirk,Outfield,White Sox,Long Beach State University,22,08/01/75,Left,Left,College,Yes,Rookie,Yes,107,465, , , ,Yes,26,103, , , , , , , , , ,No,2,133,568,107,465,133,568,133,568,133,568,133,568,4.27
1997,1,39,Jason Romano,Third Base,Rangers,"Hillsborough HS (Tampa,FL)",18,06/24/79,Right,Right,High School,No,Rookie,Yes,39,144, , , ,Yes,134,570,Yes,130,538,Yes,177,793,Yes,120,519,Yes,6,600,2564,39,144,173,714,303,1252,480,2045,600,2564,4.27
1999,29,879,Jason Rummel,Second Base,White Sox,Towson University,23,07/21/76,Right,Right,College,No,Rookie,Yes,56,239, , , , , , , , , , , , , , , ,No,1,56,239,56,239,56,239,56,239,56,239,56,239,4.27
2004,3,79,Jeffrey Fiorenti,Catcher,Orioles,Florida Atlantic U (FL),21,04/14/83,Left,Right,College,Yes,Short-Season, , , ,Yes,14,55,Yes,49,199,Yes,103,455, , , , , , ,Yes,2,166,709,14,55,63,254,166,709,166,709,166,709,4.27
2006,11,344,Jeffrey Fortenbe,Outfield,Yankees,"Baylor U, TX",23,09/01/83,Left,Left,College,No,Short-Season, , , ,Yes,67,289,Yes,140,595, , , , , , , , , ,Active,2,207,884,67,289,207,884,207,884,207,884,207,884,4.27
1996,2,46,Jimmy Rollins,Shortstop,Phillies,"Encinal HS (Alameda,CA)",18,11/27/78,Switch,Right,High School,No,Rookie,Yes,49,200, , , ,Yes,139,612,Yes,119,536,Yes,133,583,Yes,137,533,Yes,5,577,2464,49,200,188,812,307,1348,440,1931,577,2464,4.27
2005,29,880,John Defendis,Outfield,Cubs,"Rutgers U Newark, NJ",21,03/12/84,Left,Right,College,Yes,Rookie,Yes,18,81,Yes,44,190,Yes,9,32, , , , , , , , , ,No,2,71,303,62,271,71,303,71,303,71,303,71,303,4.27
1993,33,916,Kevin Sefcik,Shortstop,Phillies,St. Xavier College,22,02/10/71,Right,Right,College,No,Short-Season, , , ,Yes,74,308, , , ,Yes,130,565,Yes,128,546,Yes,7,29,Yes,3,339,1448,74,308,74,308,204,873,332,1419,339,1448,4.27
2000,4,124,Laynce Nix,Outfield,Rangers,"Midland HS (Midland,TX)",20,10/30/80,Left,Left,High School,No,Rookie,Yes,51,222, , , ,Yes,104,444,Yes,146,622,Yes,87,369, , , ,Yes,4,388,1657,51,222,155,666,301,1288,388,1657,388,1657,4.27
2006,28,848,Lorenzo Macias,Outfield,Athletics,"Mt San Antonio Col, CA",21,08/17/85,Right,Right,College,No,Rookie,Yes,24,109,Yes,35,143, , , , , , , , , , , , ,No,1,59,252,59,252,59,252,59,252,59,252,59,252,4.27
2003,6,182,Luke Appert,Second Base,Athletics,U Minnesota (MN),23,07/14/80,Left,Right,College,No,Short-Season, , , ,Yes,58,241,Yes,128,544,Yes,214,926,Yes,79,336,Yes,1,1,Active,5,480,2048,58,241,186,785,400,1711,479,2047,480,2048,4.27
1994,33,906,Mark Merila,Second Base,Padres,University of Minnesota,23,11/09/71,Switch,Right,College,Yes,Short-Season,Yes,56,240,Yes,58,247, , , , , , , , , , , , ,No,2,114,487,114,487,114,487,114,487,114,487,114,487,4.27
2001,1,5,Mark Teixeira,Third Base,Rangers,Georgia Tech University,21,04/11/80,Switch,Right,College,Yes,High-A, , , , , , , , , ,Yes,38,171,Yes,48,196, , , ,Yes,1,86,367,0,0,0,0,38,171,86,367,86,367,4.27
2000,9,270,Marshall McDouga,Third Base,Athletics,Florida State University,22,12/19/78,Right,Right,College,Yes,Short-Season, , , ,Yes,29,126, , , ,Yes,134,580,Yes,219,927,Yes,181,769,Yes,6,563,2402,29,126,29,126,163,706,382,1633,563,2402,4.27
2004,12,367,Nicholas Blasi,Outfield,Athletics,Wichita State University,23,09/23/81,Right,Right,College,Yes,Short-Season, , , ,Yes,71,309,Yes,191,805,Yes,87,405,Yes,7,29,Yes,89,352,Active,4,445,1900,71,309,262,1114,349,1519,356,1548,445,1900,4.27
2003,18,530,Ryan Roberts,Third Base,Blue Jays,U Texas (TX),23,09/19/80,Right,Right,College,No,Short-Season, , , ,Yes,66,283,Yes,64,280,Yes,101,433,Yes,92,399,Yes,98,403,Yes,4,421,1798,66,283,130,563,231,996,323,1395,421,1798,4.27
2001,3,98,Scott Hairston,Shortstop,Diamondba,Central Arizona College,21,05/25/80,Right,Right,College,Yes,Rookie,Yes,74,329, , , ,Yes,109,452,Yes,18,85,Yes,88,367,Yes,29,126,Yes,4,318,1359,74,329,183,781,201,866,289,1233,318,1359,4.27
2000,36,1078,Steve Wood,First Base,Blue Jays,Cal State Polytechnic University,23,12/10/77,Right,Right,College,No,Rookie,Yes,23,103,Yes,33,136, , , , , , , , , , , , ,No,2,56,239,56,239,56,239,56,239,56,239,56,239,4.27
1993,40,1136,Terry Jones,Outfield,Rockies,University of North Alabama,22,02/15/71,Switch,Right,College,Yes,Short-Season, , , ,Yes,33,150, , , ,Yes,150,661,Yes,124,511,Yes,128,534,Yes,4,435,1856,33,150,33,150,183,811,307,1322,435,1856,4.27
2006,1,13,Tyler Colvin,Outfield,Cubs,"Clemson U, SC",21,09/05/85,Left,Left,College,No,Short-Season, , , ,Yes,64,288, , , ,Yes,63,262,Yes,62,257, , , ,Active,2,189,807,64,288,64,288,127,550,189,807,189,807,4.27
2004,45,1334,Brandon Roberts,Outfield,Reds,U Michigan (MI),23,08/08/81,Left,Right,College,No,Rookie,Yes,68,311, , , ,Yes,131,586,Yes,110,420, , , , , , ,Active,3,309,1317,68,311,199,897,309,1317,309,1317,309,1317,4.26
2005,7,212,Brandon Roberts,Outfield,Reds,"Cal Poly San Luis Obispo, CA",21,11/09/84,Left,Right,College,No,Rookie,Yes,68,311, , , , , , ,Yes,131,586,Yes,110,420, , , ,Active,3,309,1317,68,311,68,311,199,897,309,1317,309,1317,4.26
2006,7,206,Brett Pill,First Base,Giants,"Cal St Fullerton, CA",22,09/09/84,Right,Right,College,Yes,Short-Season, , , ,Yes,60,250,Yes,137,589, , , , , , , , , ,Active,2,197,839,60,250,197,839,197,839,197,839,197,839,4.26
2002,6,188,Brian Stavisky,Outfield,Athletics,University of Notre Dame,22,07/06/80,Left,Right,College,Yes,Short-Season, , , ,Yes,32,117,Yes,98,393,Yes,136,595,Yes,220,985,Yes,55,214,Active,6,541,2304,32,117,130,510,266,1105,486,2090,541,2304,4.26
1999,12,382,Brian Ward,Third Base,Padres,North Carolina State University,22,07/07/77,Right,Right,College,No,Rookie,Yes,68,319, , , ,Yes,106,433,Yes,15,54, , , , , , ,No,3,189,806,68,319,174,752,189,806,189,806,189,806,4.26
2001,7,218,Chad Tracy,Shortstop,Diamondba,East Carolina University,21,05/22/80,Left,Right,College,No,Short-Season, , , ,Yes,10,39,Yes,54,234, , , ,Yes,129,552,Yes,144,611,Yes,4,337,1436,10,39,64,273,64,273,193,825,337,1436,4.26
2006,3,88,Chad Tracy,Catcher,Rangers,"Pepperdine U, CA",21,07/04/85,Right,Right,College,No,Short-Season, , , ,Yes,66,283,Yes,134,569, , , , , , , , , ,Active,2,200,852,66,283,200,852,200,852,200,852,200,852,4.26
1998,2,72,Chris Magruder,Outfield,Giants,University of Washington,21,04/26/77,Switch,Right,College,No,Short-Season, , , ,Yes,47,214, , , ,Yes,22,105,Yes,307,1272,Yes,87,380,Yes,4,463,1971,47,214,47,214,69,319,376,1591,463,1971,4.26
2005,1,28,Colby Rasmus,Outfield,Cardinals,"Russell County HS, AL",19,08/11/86,Left,Left,High School,No,Rookie,Yes,62,244, , , ,Yes,78,341,Yes,53,225,Yes,128,556, , , ,Active,3,321,1366,62,244,140,585,193,810,321,1366,321,1366,4.26
1994,35,968,Doyle Preston,Third Base,Reds,University of Arkansas,21,02/09/73,Left,Right,College,Yes,Rookie,Yes,126,547, , , ,Yes,7,20, , , , , , , , , ,No,2,133,567,126,547,133,567,133,567,133,567,133,567,4.26
1995,57,1487,Gabe Kapler,Third Base,Tigers,Moorpark College,20,07/31/75,Right,Right,College,No,Short-Season, , , ,Yes,63,259,Yes,138,586,Yes,137,573,Yes,139,613, , , ,Yes,4,477,2031,63,259,201,845,338,1418,477,2031,477,2031,4.26
2005,2,51,Ivan De Jesus,Shortstop,Dodgers,Puerto Rico Baseball Academy (Gura,18,05/01/87,Right,Right,High School,No,Rookie,Yes,53,213, , , ,Yes,126,563,Yes,121,502, , , , , , ,Active,3,300,1278,53,213,179,776,300,1278,300,1278,300,1278,4.26
1997,1,30,Jack Cust,First Base,Diamondba,"Immaculata HS (Flemington,NJ)",18,01/16/79,Left,Right,High School,No,Rookie,Yes,108,461, , , ,Yes,16,67,Yes,125,551,Yes,129,564,Yes,135,544,Yes,5,513,2187,108,461,124,528,249,1079,378,1643,513,2187,4.26
1999,6,203,Jason Lane,Outfield,Astros,University of Southern California,23,12/22/76,Right,Left,College,No,Short-Season, , , ,Yes,74,321,Yes,133,573, , , ,Yes,137,587,Yes,111,457,Yes,4,455,1938,74,321,207,894,207,894,344,1481,455,1938,4.26
2006,14,408,Jeff Kindel,Outfield,Rockies,"Georgia Tech, GA",23,01/09/83,Left,Left,College,No,Short-Season, , , ,Yes,47,203, , , ,Yes,126,534, , , , , , ,Active,2,173,737,47,203,47,203,173,737,173,737,173,737,4.26
1996,12,363,John McDonald,Shortstop,Indians,Providence College,22,09/24/74,Right,Right,College,No,Short-Season, , , ,Yes,75,310, , , ,Yes,130,592,Yes,187,802,Yes,66,248,Yes,4,458,1952,75,310,75,310,205,902,392,1704,458,1952,4.26
2004,6,170,Joseph Koshansky,First Base,Rockies,U Virginia (VA),22,05/26/82,Left,Left,College,No,Short-Season, , , ,Yes,66,270,Yes,120,525, , , ,Yes,144,621,Yes,136,569,Yes,4,466,1985,66,270,186,795,186,795,330,1416,466,1985,4.26
2004,3,85,Joshua Johnson,Shortstop,Royals,Middleton HS (FL),18,01/11/86,Switch,Right,High School,No,Rookie,Yes,118,532, , , ,Yes,116,510,Yes,83,307, , , , , , ,Active,4,317,1349,118,532,234,1042,317,1349,317,1349,317,1349,4.26
2006,27,818,Larry Cobb,Outfield,Athletics,"Col Charleston, SC",21,07/10/85,Right,Right,College,No,Short-Season, , , ,Yes,63,290,Yes,80,323, , , , , , ,Yes,2,5,Active,2,145,618,63,290,143,613,143,613,143,613,145,618,4.26
2002,5,154,Louis Francisco,Outfield,Indians,University of California,21,10/23/81,Right,Right,College,No,Short-Season, , , ,Yes,58,257,Yes,80,320, , , ,Yes,216,899,Yes,233,1022,Yes,6,587,2498,58,257,138,577,138,577,354,1476,587,2498,4.26
2004,33,981,Luis Rodriguez,Shortstop,Rangers,New Mexico JC (NM),21,07/12/83,Right,Right,College,No,Rookie,Yes,35,149, , , , , , , , , , , , , , , ,No,1,35,149,35,149,35,149,35,149,35,149,35,149,4.26
2003,17,513,Marcus Sanders,Shortstop,Giants,Sarasota HS (FL),18,08/25/85,Right,Right,High School,No,Rookie,Yes,65,284, , , ,Yes,205,850,Yes,54,246, , , , , , ,Active,4,324,1380,65,284,270,1134,324,1380,324,1380,324,1380,4.26
2003,16,483,Michael Mooney,Outfield,Giants,Col San Mateo (CA),20,06/08/83,Right,Right,College,No,Rookie,Yes,111,479,Yes,76,344,Yes,134,557,Yes,127,530, , , , , , ,Active,5,448,1910,187,823,321,1380,448,1910,448,1910,448,1910,4.26
2005,13,387,Michael Paulk,Outfield,Rockies,"Cal St Northridge, CA",21,04/23/84,Left,Left,College,No,Short-Season, , , ,Yes,68,299,Yes,236,996, , , , , , ,Yes,3,12,Active,3,307,1307,68,299,304,1295,304,1295,304,1295,307,1307,4.26
1996,5,127,Michael Ryan,Shortstop,Twins,Indiana HS (PA),19,07/06/77,Left,Right,High School,No,Rookie,Yes,105,428, , , ,Yes,113,456,Yes,131,570,Yes,122,515,Yes,269,1186,Yes,7,740,3155,105,428,218,884,349,1454,471,1969,740,3155,4.26
2003,1,30,Mitchell Maier,Catcher,Royals,U Toledo (OH),21,06/30/82,Left,Right,College,No,Rookie,Yes,51,221, , , ,Yes,82,344,Yes,101,416,Yes,218,945, , , ,Yes,4,452,1926,51,221,133,565,234,981,452,1926,452,1926,4.26
